file,split,issue,detail
codebrim_image_0000284.jpg,train,tiny_bbox,class=rust area=0.000568
codebrim_image_0000284.jpg,train,tiny_bbox,class=damage area=0.000568
codebrim_image_0000284.jpg,train,tiny_bbox,class=rust area=0.000307
codebrim_image_0000284.jpg,train,tiny_bbox,class=damage area=0.000307
codebrim_image_0000284.jpg,train,tiny_bbox,class=rust area=0.000988
codebrim_image_0000284.jpg,train,tiny_bbox,class=damage area=0.000988
codebrim_image_0000321.jpg,train,tiny_bbox,class=damage area=0.000516
codebrim_image_0000321.jpg,train,tiny_bbox,class=damage area=0.000495
codebrim_image_0000321.jpg,train,tiny_bbox,class=damage area=0.000746
codebrim_image_0000355.jpg,train,huge_bbox,class=rust area=0.8222
codebrim_image_0000355.jpg,train,huge_bbox,class=damage area=0.8222
codebrim_image_0000356.jpg,train,tiny_bbox,class=rust area=0.000321
codebrim_image_0000356.jpg,train,tiny_bbox,class=damage area=0.000321
codebrim_image_0000398.jpg,train,tiny_bbox,class=rust area=0.000676
codebrim_image_0000398.jpg,train,tiny_bbox,class=damage area=0.000676
codebrim_image_0000406.jpg,train,tiny_bbox,class=rust area=0.000802
codebrim_image_0000406.jpg,train,tiny_bbox,class=damage area=0.000802
codebrim_image_0000406.jpg,train,tiny_bbox,class=rust area=0.000728
codebrim_image_0000406.jpg,train,tiny_bbox,class=damage area=0.000728
codebrim_image_0000441.jpg,train,tiny_bbox,class=rust area=0.000590
codebrim_image_0000441.jpg,train,tiny_bbox,class=damage area=0.000590
codebrim_image_0000441.jpg,train,tiny_bbox,class=rust area=0.000147
codebrim_image_0000441.jpg,train,tiny_bbox,class=damage area=0.000147
codebrim_image_0000457.jpg,train,tiny_bbox,class=rust area=0.000962
codebrim_image_0000457.jpg,train,tiny_bbox,class=damage area=0.000962
codebrim_image_0000461.jpg,train,tiny_bbox,class=damage area=0.000785
codebrim_image_0000461.jpg,train,tiny_bbox,class=damage area=0.000728
codebrim_image_0000461.jpg,train,tiny_bbox,class=damage area=0.000443
codebrim_image_0000481.jpg,train,tiny_bbox,class=damage area=0.000886
codebrim_image_0000527.jpg,train,tiny_bbox,class=rust area=0.000818
codebrim_image_0000540.jpg,train,tiny_bbox,class=rust area=0.000471
codebrim_image_0000540.jpg,train,tiny_bbox,class=damage area=0.000471
codebrim_image_0000540.jpg,train,tiny_bbox,class=rust area=0.000388
codebrim_image_0000540.jpg,train,tiny_bbox,class=rust area=0.000570
codebrim_image_0000540.jpg,train,tiny_bbox,class=damage area=0.000570
codebrim_image_0000540.jpg,train,tiny_bbox,class=rust area=0.000455
codebrim_image_0000545.jpg,train,tiny_bbox,class=rust area=0.000294
codebrim_image_0000545.jpg,train,tiny_bbox,class=rust area=0.000975
codebrim_image_0000545.jpg,train,tiny_bbox,class=damage area=0.000975
codebrim_image_0000555.jpg,train,tiny_bbox,class=rust area=0.000921
codebrim_image_0000555.jpg,train,tiny_bbox,class=damage area=0.000921
codebrim_image_0000557.jpg,train,tiny_bbox,class=damage area=0.000994
codebrim_image_0000570.jpg,train,tiny_bbox,class=damage area=0.000819
codebrim_image_0000570.jpg,train,tiny_bbox,class=damage area=0.000974
codebrim_image_0000605.jpg,train,tiny_bbox,class=rust area=0.000691
codebrim_image_0000605.jpg,train,tiny_bbox,class=damage area=0.000691
codebrim_image_0000605.jpg,train,tiny_bbox,class=rust area=0.000770
codebrim_image_0000605.jpg,train,tiny_bbox,class=damage area=0.000770
codebrim_image_0000670.jpg,train,tiny_bbox,class=damage area=0.000613
codebrim_image_0000670.jpg,train,tiny_bbox,class=damage area=0.000762
codebrim_image_0000673.jpg,train,tiny_bbox,class=rust area=0.000552
codebrim_image_0000673.jpg,train,tiny_bbox,class=damage area=0.000552
codebrim_image_0000678.jpg,train,huge_bbox,class=rust area=0.9955
codebrim_image_0000678.jpg,train,huge_bbox,class=damage area=0.9955
codebrim_image_0000697.jpg,train,huge_bbox,class=rust area=0.9915
codebrim_image_0000697.jpg,train,huge_bbox,class=damage area=0.9915
codebrim_image_0000705.jpg,train,tiny_bbox,class=rust area=0.000687
codebrim_image_0000713.jpg,train,tiny_bbox,class=damage area=0.000966
codebrim_image_0000715.jpg,train,huge_bbox,class=rust area=0.8845
codebrim_image_0000715.jpg,train,huge_bbox,class=damage area=0.8845
codebrim_image_0000716.jpg,train,huge_bbox,class=rust area=0.8967
codebrim_image_0000716.jpg,train,huge_bbox,class=damage area=0.8967
codebrim_image_0000720.jpg,train,huge_bbox,class=rust area=0.8419
codebrim_image_0000720.jpg,train,huge_bbox,class=damage area=0.8419
codebrim_image_0000724.jpg,train,huge_bbox,class=rust area=0.8560
codebrim_image_0000724.jpg,train,huge_bbox,class=damage area=0.8560
codebrim_image_0000728.jpg,train,tiny_bbox,class=damage area=0.000661
codebrim_image_0000728.jpg,train,tiny_bbox,class=damage area=0.000549
codebrim_image_0000730.jpg,train,huge_bbox,class=rust area=0.9961
codebrim_image_0000730.jpg,train,huge_bbox,class=damage area=0.9961
codebrim_image_0000732.jpg,train,huge_bbox,class=rust area=0.8696
codebrim_image_0000732.jpg,train,huge_bbox,class=damage area=0.8696
codebrim_image_0000734.jpg,train,huge_bbox,class=rust area=0.9953
codebrim_image_0000734.jpg,train,huge_bbox,class=damage area=0.9953
codebrim_image_0000736.jpg,train,huge_bbox,class=rust area=0.9991
codebrim_image_0000736.jpg,train,huge_bbox,class=damage area=0.9991
codebrim_image_0000739.jpg,train,huge_bbox,class=rust area=0.8230
codebrim_image_0000739.jpg,train,huge_bbox,class=damage area=0.8230
codebrim_image_0000740.jpg,train,huge_bbox,class=rust area=0.9994
codebrim_image_0000740.jpg,train,huge_bbox,class=damage area=0.9994
codebrim_image_0000741.jpg,train,huge_bbox,class=rust area=0.9250
codebrim_image_0000741.jpg,train,huge_bbox,class=damage area=0.9250
codebrim_image_0000743.jpg,train,huge_bbox,class=rust area=0.9918
codebrim_image_0000743.jpg,train,huge_bbox,class=damage area=0.9918
codebrim_image_0000748.jpg,train,tiny_bbox,class=rust area=0.000635
codebrim_image_0000748.jpg,train,tiny_bbox,class=rust area=0.000815
codebrim_image_0000755.jpg,train,huge_bbox,class=rust area=0.8021
codebrim_image_0000755.jpg,train,huge_bbox,class=damage area=0.8021
codebrim_image_0000761.jpg,train,tiny_bbox,class=rust area=0.000759
codebrim_image_0000761.jpg,train,tiny_bbox,class=damage area=0.000759
codebrim_image_0000763.jpg,train,huge_bbox,class=rust area=0.9962
codebrim_image_0000763.jpg,train,huge_bbox,class=damage area=0.9962
codebrim_image_0000766.jpg,train,huge_bbox,class=rust area=0.9963
codebrim_image_0000766.jpg,train,huge_bbox,class=damage area=0.9963
codebrim_image_0000770.jpg,train,huge_bbox,class=rust area=0.9482
codebrim_image_0000770.jpg,train,huge_bbox,class=damage area=0.9482
codebrim_image_0000783.jpg,train,huge_bbox,class=rust area=0.8315
codebrim_image_0000783.jpg,train,huge_bbox,class=damage area=0.8315
codebrim_image_0000907.jpg,train,huge_bbox,class=rust area=0.8769
codebrim_image_0000956.jpg,train,tiny_bbox,class=damage area=0.000968
codebrim_image_0000987.jpg,train,tiny_bbox,class=damage area=0.000815
codebrim_image_0000987.jpg,train,tiny_bbox,class=damage area=0.000774
codebrim_image_0000987.jpg,train,tiny_bbox,class=damage area=0.000956
codebrim_image_0000987.jpg,train,tiny_bbox,class=damage area=0.000861
codebrim_image_0000987.jpg,train,tiny_bbox,class=damage area=0.000815
codebrim_image_0000987.jpg,train,tiny_bbox,class=damage area=0.000448
codebrim_image_0000987.jpg,train,tiny_bbox,class=damage area=0.000814
